Time: 1737829218.132899, ID: 2830, yaw: 2.846685, 3D yaw: 0.039626
Time: 1737829218.178929, ID: 2830, yaw: 2.708532, 3D yaw: 0.045244
Time: 1737829218.224485, ID: 2830, yaw: 2.524528, 3D yaw: 0.064607
Time: 1737829218.270383, ID: 2830, yaw: 2.312981, 3D yaw: -0.018359
Time: 1737829218.316367, ID: 2830, yaw: 2.080062, 3D yaw: -0.018353
Time: 1737829218.362359, ID: 2830, yaw: 1.847057, 3D yaw: -0.002309
Time: 1737829218.408044, ID: 2830, yaw: 1.625599, 3D yaw: -0.001131
Time: 1737829218.499980, ID: 2830, yaw: 1.419907, 3D yaw: -0.050908
Time: 1737829218.545946, ID: 2830, yaw: 1.226456, 3D yaw: -0.049252
Time: 1737829218.591667, ID: 2830, yaw: 1.053800, 3D yaw: -0.064720
Time: 1737829218.637564, ID: 2830, yaw: 0.899237, 3D yaw: -0.084669
Time: 1737829218.683654, ID: 2830, yaw: 0.761203, 3D yaw: -0.100270
Time: 1737829218.730011, ID: 2830, yaw: 0.639007, 3D yaw: -0.110846
Time: 1737829218.775252, ID: 2830, yaw: 0.531787, 3D yaw: -0.093394
Time: 1737829218.821079, ID: 2830, yaw: 0.441869, 3D yaw: -0.102246
Time: 1737829218.867036, ID: 2830, yaw: 0.363276, 3D yaw: -0.108156
Time: 1737829218.912930, ID: 2830, yaw: 0.294970, 3D yaw: -0.102406
Time: 1737829219.057903, ID: 2830, yaw: 0.237263, 3D yaw: -0.072182
Time: 1737829219.107066, ID: 2830, yaw: 0.192251, 3D yaw: -0.103461
Time: 1737829219.156051, ID: 2830, yaw: 0.149185, 3D yaw: -0.147133
Time: 1737829219.206334, ID: 2830, yaw: 0.105993, 3D yaw: -0.149534
Time: 1737829219.254266, ID: 2830, yaw: 0.068723, 3D yaw: -0.162263
Time: 1737829219.303416, ID: 2830, yaw: 0.035017, 3D yaw: -0.163050
Time: 1737829219.401396, ID: 2830, yaw: 0.006104, 3D yaw: -0.159438
Time: 1737829219.450680, ID: 2830, yaw: -0.018067, 3D yaw: -0.160305
Time: 1737829219.548811, ID: 2830, yaw: -0.038839, 3D yaw: -0.162120
Time: 1737829219.695971, ID: 2830, yaw: -0.056845, 3D yaw: 2.929639
Time: 1737829219.745163, ID: 2830, yaw: 0.379389, 3D yaw: 2.942344
Time: 1737829220.141259, ID: 2830, yaw: 0.753785, 3D yaw: 2.892816
Time: 1737829220.191393, ID: 2830, yaw: 1.066270, 3D yaw: 2.909835
Time: 1737829220.292098, ID: 2830, yaw: 1.335601, 3D yaw: 2.909162
Time: 1737829220.441595, ID: 2830, yaw: 2.906801, 3D yaw: 2.899523
Time: 1737829221.193501, ID: 2830, yaw: 2.905738, 3D yaw: -0.147105
Time: 1737829221.394842, ID: 2830, yaw: 2.459713, 3D yaw: -0.106352
Time: 1737829221.595691, ID: 2830, yaw: 2.084803, 3D yaw: -0.128783
Time: 1737829221.696068, ID: 2830, yaw: 1.761389, 3D yaw: -0.136057
Time: 1737829221.847250, ID: 2830, yaw: 1.484162, 3D yaw: -0.094458
Time: 1737829221.898458, ID: 2830, yaw: -0.087777, 3D yaw: -0.148514
Time: 1737829221.947714, ID: 2830, yaw: -0.096651, 3D yaw: -0.115667
Time: 1737829221.998102, ID: 2830, yaw: -0.099430, 3D yaw: -0.104091
Time: 1737829222.148767, ID: 2830, yaw: -0.100111, 3D yaw: -0.087117
Time: 1737829222.199544, ID: 2830, yaw: -0.098212, 3D yaw: -0.057005
Time: 1737829222.299568, ID: 2830, yaw: -0.092192, 3D yaw: -0.062366
Time: 1737829222.401202, ID: 2830, yaw: -0.087834, 3D yaw: -0.103041
Time: 1737829222.450194, ID: 2830, yaw: -0.090056, 3D yaw: -0.062739
Time: 1737829222.500736, ID: 2830, yaw: -0.086065, 3D yaw: -0.057792
Time: 1737829222.550818, ID: 2830, yaw: -0.081934, 3D yaw: -0.039247
Time: 1737829222.651390, ID: 2830, yaw: -0.075697, 3D yaw: -0.052718
Time: 1737829222.701313, ID: 2830, yaw: -0.072340, 3D yaw: -0.050968
Time: 1737829222.751740, ID: 2830, yaw: -0.069217, 3D yaw: -0.063033
Time: 1737829222.802036, ID: 2830, yaw: -0.068314, 3D yaw: -0.061724
Time: 1737829222.902379, ID: 2830, yaw: -0.067351, 3D yaw: -0.081406
Time: 1737829222.952745, ID: 2830, yaw: -0.069404, 3D yaw: -0.112806
Time: 1737829224.105572, ID: 15852, yaw: -0.135810, 3D yaw: -0.126338
Time: 1737829224.155830, ID: 15852, yaw: -0.135557, 3D yaw: -0.115358
Time: 1737829224.205666, ID: 15852, yaw: -0.134563, 3D yaw: -0.093728
Time: 1737829224.306993, ID: 15852, yaw: -0.131741, 3D yaw: -0.058253
Time: 1737829224.356098, ID: 15852, yaw: -0.125422, 3D yaw: -0.041673
Time: 1737829224.406058, ID: 15852, yaw: -0.117054, 3D yaw: -0.020790
Time: 1737829224.506277, ID: 15852, yaw: -0.106365, 3D yaw: 0.007353
Time: 1737829224.556261, ID: 15852, yaw: -0.092748, 3D yaw: 0.032832
Time: 1737829224.906570, ID: 15852, yaw: -0.076869, 3D yaw: 0.134754
Time: 1737829225.107421, ID: 15852, yaw: -0.049035, 3D yaw: 0.124397
Time: 1737829225.256326, ID: 15852, yaw: -0.025562, 3D yaw: 0.106476
Time: 1737829225.306233, ID: 15852, yaw: -0.007317, 3D yaw: 0.090296
Time: 1737829225.356309, ID: 15852, yaw: 0.006378, 3D yaw: 0.097018
Time: 1737829225.406404, ID: 15852, yaw: 0.019235, 3D yaw: 0.095644
Time: 1737829225.556211, ID: 15852, yaw: 0.030160, 3D yaw: 0.080430
Time: 1737829225.656099, ID: 15852, yaw: 0.037390, 3D yaw: 0.090948
Time: 1737829225.706131, ID: 15852, yaw: 0.045126, 3D yaw: -0.077115
Time: 1737829225.856205, ID: 15852, yaw: 0.027415, 3D yaw: -0.046233
Time: 1737829225.905916, ID: 15852, yaw: 0.016720, 3D yaw: -0.071381
Time: 1737829225.955980, ID: 15852, yaw: 0.003905, 3D yaw: -0.055832
Time: 1737829226.105695, ID: 15852, yaw: -0.004795, 3D yaw: -0.073141
Time: 1737829226.155664, ID: 15852, yaw: -0.014757, 3D yaw: -0.026557
Time: 1737829226.206334, ID: 15852, yaw: -0.016478, 3D yaw: -0.017530
Time: 1737829226.255668, ID: 15852, yaw: -0.016632, 3D yaw: -0.028953
Time: 1737829226.305472, ID: 15852, yaw: -0.018430, 3D yaw: -0.041125
Time: 1737829226.355568, ID: 15852, yaw: -0.021744, 3D yaw: -0.013199
Time: 1737829226.455554, ID: 15852, yaw: -0.020496, 3D yaw: -0.010882
Time: 1737829226.706188, ID: 15852, yaw: -0.019092, 3D yaw: -0.044169
Time: 1737829226.755212, ID: 2830, yaw: -0.075746, 3D yaw: 1.419902
Time: 1737829226.755212, ID: 15852, yaw: -0.022755, 3D yaw: -0.037657
Time: 1737829226.805007, ID: 15852, yaw: -0.024932, 3D yaw: -0.052261
Time: 1737829226.904946, ID: 15852, yaw: -0.028924, 3D yaw: -0.054009
Time: 1737829226.955020, ID: 15852, yaw: -0.032589, 3D yaw: -0.032539
