Time: 1737828797.452015, ID: 21, yaw: 1.609539, 3D yaw: 1.749043
Time: 1737828797.551635, ID: 21, yaw: 1.613273, 3D yaw: 1.721420
Time: 1737828797.601668, ID: 43, yaw: 2.994519, 3D yaw: 2.938354
Time: 1737828797.651614, ID: 43, yaw: 2.991748, 3D yaw: 2.938354
Time: 1737828797.701734, ID: 43, yaw: 2.988036, 3D yaw: 2.964599
Time: 1737828797.751190, ID: 130, yaw: 2.112485, 3D yaw: 2.314592
Time: 1737828797.800972, ID: 130, yaw: 2.117896, 3D yaw: 2.131486
Time: 1737828797.800972, ID: 142, yaw: 0.993214, 3D yaw: 0.770383
Time: 1737828797.452015, ID: 21, yaw: 1.609539, 3D yaw: 1.749043
Time: 1737828797.551635, ID: 21, yaw: 1.613273, 3D yaw: 1.721420
Time: 1737828797.601668, ID: 21, yaw: 1.618627, 3D yaw: 1.876870
Time: 1737828797.601668, ID: 251, yaw: 2.994519, 3D yaw: 2.938354
Time: 1737828797.651614, ID: 21, yaw: 1.636635, 3D yaw: 1.827452
Time: 1737828797.651614, ID: 251, yaw: 2.991748, 3D yaw: 2.938354
Time: 1737828797.701734, ID: 21, yaw: 1.653320, 3D yaw: 1.911830
Time: 1737828797.701734, ID: 251, yaw: 2.988036, 3D yaw: 2.964599
Time: 1737828797.751190, ID: 21, yaw: 1.679734, 3D yaw: 2.095981
Time: 1737828797.751190, ID: 338, yaw: 2.112485, 3D yaw: 2.314592
Time: 1737828797.800972, ID: 21, yaw: 1.727277, 3D yaw: 0.542573
Time: 1737828797.800972, ID: 338, yaw: 2.117896, 3D yaw: 2.131486
Time: 1737828797.800972, ID: 350, yaw: 0.993214, 3D yaw: 0.770383
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.551635, ID: 21, yaw: 1.613273, 3D yaw: 1.721420
Time: 1737828797.601668, ID: 21, yaw: 1.618627, 3D yaw: 1.876870
Time: 1737828797.651614, ID: 21, yaw: 1.636635, 3D yaw: 1.827452
Time: 1737828797.701734, ID: 21, yaw: 1.653320, 3D yaw: 1.911830
Time: 1737828797.701734, ID: 482, yaw: 2.938354, 3D yaw: 2.964599
Time: 1737828797.751190, ID: 21, yaw: 1.679734, 3D yaw: 2.095981
Time: 1737828797.751190, ID: 525, yaw: 2.112485, 3D yaw: 2.314592
Time: 1737828797.800972, ID: 21, yaw: 1.727277, 3D yaw: 0.542573
Time: 1737828797.800972, ID: 525, yaw: 2.117896, 3D yaw: 2.131486
Time: 1737828797.800972, ID: 537, yaw: 0.993214, 3D yaw: 0.770383
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.551635, ID: 21, yaw: 1.613273, 3D yaw: 1.721420
Time: 1737828797.601668, ID: 21, yaw: 1.618627, 3D yaw: 1.876870
Time: 1737828797.651614, ID: 21, yaw: 1.636635, 3D yaw: 1.827452
Time: 1737828797.701734, ID: 21, yaw: 1.653320, 3D yaw: 1.911830
Time: 1737828797.751190, ID: 21, yaw: 1.679734, 3D yaw: 2.095981
Time: 1737828797.751190, ID: 713, yaw: 2.112485, 3D yaw: 2.314592
Time: 1737828797.800972, ID: 21, yaw: 1.727277, 3D yaw: 0.542573
Time: 1737828797.800972, ID: 713, yaw: 2.117896, 3D yaw: 2.131486
Time: 1737828797.800972, ID: 726, yaw: 0.993214, 3D yaw: 0.770383
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.751190, ID: 21, yaw: 1.679734, 3D yaw: 2.095981
Time: 1737828797.800972, ID: 21, yaw: 1.727277, 3D yaw: 0.542573
Time: 1737828797.800972, ID: 824, yaw: 0.993214, 3D yaw: 0.770383
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.950561, ID: 864, yaw: -0.078079, 3D yaw: -0.088878
Time: 1737828797.800972, ID: 21, yaw: 1.727277, 3D yaw: 0.542573
Time: 1737828797.800972, ID: 824, yaw: 0.993214, 3D yaw: 0.770383
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.950561, ID: 939, yaw: -0.078079, 3D yaw: -0.088878
Time: 1737828797.800972, ID: 21, yaw: 1.727277, 3D yaw: 0.542573
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.950561, ID: 1015, yaw: -0.078079, 3D yaw: -0.088878
Time: 1737828797.851001, ID: 21, yaw: 1.581854, 3D yaw: 1.455935
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.950561, ID: 1015, yaw: -0.078079, 3D yaw: -0.088878
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828797.950561, ID: 21, yaw: 1.564850, 3D yaw: 1.730746
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828799.953098, ID: 21, yaw: 1.484771, 3D yaw: 1.836077
Time: 1737828800.102493, ID: 21, yaw: 1.648880, 3D yaw: 1.126231
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
